,disparities_FIPS,disparities_County,disparities_State,disparities_Condition,disparities_Urban/Rural,disparities_Total,disparities_Total No. of Beneficiaries,disparities_White,disparities_No. of Beneficiaries Who are White,disparities_Black,disparities_No. of Beneficiaries Who are Black,disparities_Asian/Pacific Islander,disparities_No. of Beneficiaries Who are Asian/Pacific Islander,disparities_Hispanic,disparities_No. of Beneficiaries Who are Hispanic,disparities_American Indian/Alaska Native,disparities_No. of Beneficiaries Who are American Indian/Alaska Native,disparities_Other,disparities_No. of Beneficiaries Who are in Other Ethic Groups,covid_date_as_of,covid_last_week,covid_state,covid_county_name,covid_fips_county_code,covid_deaths_involving_covid_19,covid_deaths_from_all_causes,covid_Longitude,covid_Latitude
12979,4007,GILA,AZ,Hypertension,Rural,51,"[10,000+]",49.0,"[10,000+]",78.0,[11-499],42.0,[11-499],59.0,"[1,000-4,999]",67.0,[500-999],44.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AZ,Gila County,4007.0,34.0,563.0,-111.664616,34.293239
12980,4009,GRAHAM,AZ,Hypertension,Rural,49,"[1,000-4,999]",48.0,"[1,000-4,999]",83.0,[11-499],33.0,[11-499],50.0,[500-999],62.0,[11-499],45.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AZ,Graham County,4009.0,23.0,237.0,-111.664616,34.293239
12983,4013,MARICOPA,AZ,Hypertension,Urban,54,"[10,000+]",54.0,"[10,000+]",59.0,"[10,000+]",52.0,"[5,000-9,999]",50.0,"[10,000+]",59.0,"[1,000-4,999]",55.0,"[1,000-4,999]",2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AZ,Maricopa County,4013.0,3544.0,32851.0,-111.664616,34.293239
12984,4015,MOHAVE,AZ,Hypertension,Urban,57,"[10,000+]",57.0,"[10,000+]",58.0,[11-499],53.0,[11-499],54.0,"[1,000-4,999]",55.0,[11-499],58.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AZ,Mohave County,4015.0,193.0,2739.0,-111.664616,34.293239
12985,4017,NAVAJO,AZ,Hypertension,Rural,49,"[10,000+]",46.0,"[10,000+]",51.0,[11-499],31.0,[11-499],46.0,[500-999],55.0,"[5,000-9,999]",34.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AZ,Navajo County,4017.0,65.0,832.0,-111.664616,34.293239
12986,4019,PIMA,AZ,Hypertension,Urban,50,"[10,000+]",50.0,"[10,000+]",52.0,"[1,000-4,999]",45.0,"[1,000-4,999]",46.0,"[5,000-9,999]",59.0,"[1,000-4,999]",49.0,[500-999],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AZ,Pima County,4019.0,746.0,9498.0,-111.664616,34.293239
12987,4021,PINAL,AZ,Hypertension,Urban,55,"[10,000+]",55.0,"[10,000+]",61.0,[500-999],54.0,[11-499],50.0,"[1,000-4,999]",70.0,"[1,000-4,999]",57.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AZ,Pinal County,4021.0,86.0,2063.0,-111.664616,34.293239
12989,4025,YAVAPAI,AZ,Hypertension,Urban,50,"[10,000+]",50.0,"[10,000+]",51.0,[11-499],41.0,[11-499],48.0,"[1,000-4,999]",55.0,[11-499],53.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AZ,Yavapai County,4025.0,83.0,2469.0,-111.664616,34.293239
12990,4027,YUMA,AZ,Hypertension,Urban,61,"[10,000+]",65.0,"[10,000+]",66.0,[11-499],65.0,[11-499],51.0,"[5,000-9,999]",54.0,[11-499],55.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AZ,Yuma County,4027.0,312.0,1697.0,-111.664616,34.293239
12994,5005,BAXTER,AR,Hypertension,Rural,60,"[10,000+]",60.0,"[5,000-9,999]",,*,65.0,[11-499],57.0,[11-499],67.0,[11-499],40.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AR,Baxter County,5005.0,25.0,690.0,-92.439162,34.899825
12995,5007,BENTON,AR,Hypertension,Urban,57,"[10,000+]",58.0,"[10,000+]",59.0,[11-499],40.0,[11-499],47.0,[500-999],62.0,[11-499],51.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AR,Benton County,5007.0,142.0,1475.0,-92.439162,34.899825
12996,5009,BOONE,AR,Hypertension,Rural,56,"[5,000-9,999]",56.0,"[5,000-9,999]",,*,41.0,[11-499],43.0,[11-499],58.0,[11-499],54.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AR,Boone County,5009.0,24.0,341.0,-92.439162,34.899825
13000,5017,CHICOT,AR,Hypertension,Rural,69,"[1,000-4,999]",66.0,"[1,000-4,999]",74.0,[500-999],,*,45.0,[11-499],,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AR,Chicot County,5017.0,12.0,85.0,-92.439162,34.899825
13005,5027,COLUMBIA,AR,Hypertension,Rural,64,"[1,000-4,999]",64.0,"[1,000-4,999]",66.0,"[1,000-4,999]",,*,47.0,[11-499],,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AR,Columbia County,5027.0,18.0,211.0,-92.439162,34.899825
13007,5031,CRAIGHEAD,AR,Hypertension,Urban,60,"[10,000+]",60.0,"[10,000+]",56.0,[500-999],45.0,[11-499],50.0,[11-499],,*,60.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AR,Craighead County,5031.0,162.0,1646.0,-92.439162,34.899825
13009,5035,CRITTENDEN,AR,Hypertension,Urban,66,"[5,000-9,999]",65.0,"[1,000-4,999]",69.0,"[1,000-4,999]",63.0,[11-499],55.0,[11-499],,*,40.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AR,Crittenden County,5035.0,21.0,284.0,-92.439162,34.899825
13014,5045,FAULKNER,AR,Hypertension,Urban,59,"[10,000+]",59.0,"[10,000+]",62.0,[500-999],51.0,[11-499],43.0,[11-499],58.0,[11-499],71.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AR,Faulkner County,5045.0,47.0,835.0,-92.439162,34.899825
13017,5051,GARLAND,AR,Hypertension,Urban,59,"[10,000+]",60.0,"[10,000+]",61.0,[500-999],48.0,[11-499],48.0,[11-499],56.0,[11-499],55.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AR,Garland County,5051.0,97.0,1387.0,-92.439162,34.899825
13022,5061,HOWARD,AR,Hypertension,Rural,61,"[1,000-4,999]",61.0,"[1,000-4,999]",66.0,[11-499],,*,53.0,[11-499],77.0,[11-499],,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AR,Howard County,5061.0,10.0,120.0,-92.439162,34.899825
13023,5063,INDEPENDENCE,AR,Hypertension,Rural,61,"[5,000-9,999]",61.0,"[5,000-9,999]",69.0,[11-499],45.0,[11-499],45.0,[11-499],,*,60.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AR,Independence County,5063.0,59.0,422.0,-92.439162,34.899825
13026,5069,JEFFERSON,AR,Hypertension,Urban,65,"[10,000+]",64.0,"[5,000-9,999]",66.0,"[1,000-4,999]",43.0,[11-499],64.0,[11-499],,*,63.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AR,Jefferson County,5069.0,102.0,769.0,-92.439162,34.899825
13032,5081,LITTLE RIVER,AR,Hypertension,Rural,63,"[1,000-4,999]",63.0,"[1,000-4,999]",69.0,[11-499],,*,48.0,[11-499],70.0,[11-499],,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AR,Little River County,5081.0,25.0,124.0,-92.439162,34.899825
13034,5085,LONOKE,AR,Hypertension,Urban,58,"[5,000-9,999]",58.0,"[5,000-9,999]",60.0,[11-499],54.0,[11-499],46.0,[11-499],55.0,[11-499],63.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AR,Lonoke County,5085.0,13.0,353.0,-92.439162,34.899825
13038,5093,MISSISSIPPI,AR,Hypertension,Rural,64,"[5,000-9,999]",64.0,"[1,000-4,999]",65.0,"[1,000-4,999]",59.0,[11-499],57.0,[11-499],,*,41.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AR,Mississippi County,5093.0,22.0,296.0,-92.439162,34.899825
13042,5101,NEWTON,AR,Hypertension,Rural,51,"[1,000-4,999]",51.0,"[1,000-4,999]",,*,,*,,*,,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AR,Newton County,5101.0,13.0,80.0,-92.439162,34.899825
13049,5115,POPE,AR,Hypertension,Rural,57,"[5,000-9,999]",57.0,"[5,000-9,999]",60.0,[11-499],44.0,[11-499],51.0,[11-499],60.0,[11-499],50.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AR,Pope County,5115.0,22.0,517.0,-92.439162,34.899825
13051,5119,PULASKI,AR,Hypertension,Urban,58,"[10,000+]",58.0,"[10,000+]",61.0,"[10,000+]",47.0,[11-499],45.0,[500-999],55.0,[11-499],56.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AR,Pulaski County,5119.0,352.0,5018.0,-92.439162,34.899825
13052,5121,RANDOLPH,AR,Hypertension,Rural,59,"[1,000-4,999]",59.0,"[1,000-4,999]",50.0,[11-499],,*,54.0,[11-499],42.0,[11-499],64.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AR,Randolph County,5121.0,13.0,127.0,-92.439162,34.899825
13054,5125,SALINE,AR,Hypertension,Urban,60,"[5,000-9,999]",60.0,"[5,000-9,999]",63.0,[11-499],49.0,[11-499],38.0,[11-499],64.0,[11-499],80.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AR,Saline County,5125.0,29.0,705.0,-92.439162,34.899825
13057,5131,SEBASTIAN,AR,Hypertension,Urban,60,"[10,000+]",61.0,"[10,000+]",58.0,[500-999],54.0,[11-499],48.0,[11-499],59.0,[11-499],44.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AR,Sebastian County,5131.0,136.0,1777.0,-92.439162,34.899825
13060,5137,STONE,AR,Hypertension,Rural,62,"[1,000-4,999]",62.0,"[1,000-4,999]",,*,,*,57.0,[11-499],,*,64.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AR,Stone County,5137.0,13.0,130.0,-92.439162,34.899825
13061,5139,UNION,AR,Hypertension,Rural,62,"[5,000-9,999]",62.0,"[5,000-9,999]",63.0,"[1,000-4,999]",53.0,[11-499],56.0,[11-499],,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AR,Union County,5139.0,49.0,431.0,-92.439162,34.899825
13063,5143,WASHINGTON,AR,Hypertension,Urban,53,"[10,000+]",54.0,"[10,000+]",48.0,[11-499],48.0,[11-499],41.0,[500-999],58.0,[11-499],42.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AR,Washington County,5143.0,181.0,1859.0,-92.439162,34.899825
13064,5145,WHITE,AR,Hypertension,Rural,64,"[10,000+]",64.0,"[10,000+]",67.0,[11-499],47.0,[11-499],47.0,[11-499],60.0,[11-499],73.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AR,White County,5145.0,37.0,714.0,-92.439162,34.899825
13067,6001,ALAMEDA,CA,Hypertension,Urban,53,"[10,000+]",49.0,"[10,000+]",56.0,"[10,000+]",60.0,"[10,000+]",50.0,"[10,000+]",47.0,[11-499],55.0,"[1,000-4,999]",2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Alameda County,6001.0,448.0,8259.0,-119.662127,37.211164
13069,6005,AMADOR,CA,Hypertension,Rural,52,"[5,000-9,999]",52.0,"[5,000-9,999]",52.0,[11-499],45.0,[11-499],48.0,[11-499],67.0,[11-499],39.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Amador County,6005.0,28.0,327.0,-119.662127,37.211164
13070,6007,BUTTE,CA,Hypertension,Urban,51,"[10,000+]",51.0,"[10,000+]",56.0,[500-999],44.0,[500-999],51.0,"[1,000-4,999]",53.0,[500-999],54.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Butte County,6007.0,52.0,1692.0,-119.662127,37.211164
13071,6009,CALAVERAS,CA,Hypertension,Rural,50,"[10,000+]",50.0,"[5,000-9,999]",55.0,[11-499],47.0,[11-499],48.0,[500-999],61.0,[11-499],57.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Calaveras County,6009.0,11.0,288.0,-119.662127,37.211164
13073,6013,CONTRA COSTA,CA,Hypertension,Urban,49,"[10,000+]",48.0,"[10,000+]",53.0,"[5,000-9,999]",52.0,"[5,000-9,999]",47.0,"[5,000-9,999]",46.0,[11-499],53.0,"[1,000-4,999]",2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Contra Costa County,6013.0,219.0,6143.0,-119.662127,37.211164
13076,6019,FRESNO,CA,Hypertension,Urban,60,"[10,000+]",60.0,"[10,000+]",64.0,"[1,000-4,999]",63.0,"[1,000-4,999]",59.0,"[10,000+]",64.0,[500-999],57.0,[500-999],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Fresno County,6019.0,438.0,6310.0,-119.662127,37.211164
13079,6025,IMPERIAL,CA,Hypertension,Urban,64,"[10,000+]",61.0,"[1,000-4,999]",71.0,[11-499],64.0,[11-499],65.0,"[10,000+]",52.0,[11-499],53.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Imperial County,6025.0,192.0,954.0,-119.662127,37.211164
13080,6027,INYO,CA,Hypertension,Rural,49,"[1,000-4,999]",49.0,"[1,000-4,999]",,*,50.0,[11-499],54.0,[11-499],44.0,[11-499],57.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Inyo County,6027.0,14.0,146.0,-119.662127,37.211164
13081,6029,KERN,CA,Hypertension,Urban,58,"[10,000+]",58.0,"[10,000+]",62.0,"[1,000-4,999]",62.0,"[1,000-4,999]",57.0,"[10,000+]",62.0,[11-499],61.0,[500-999],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Kern County,6029.0,426.0,5226.0,-119.662127,37.211164
13082,6031,KINGS,CA,Hypertension,Urban,61,"[10,000+]",61.0,"[5,000-9,999]",70.0,[11-499],59.0,[11-499],61.0,"[1,000-4,999]",67.0,[11-499],59.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Kings County,6031.0,120.0,766.0,-119.662127,37.211164
13083,6033,LAKE,CA,Hypertension,Rural,46,"[10,000+]",46.0,"[10,000+]",60.0,[11-499],43.0,[11-499],44.0,"[1,000-4,999]",56.0,[11-499],52.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Lake County,6033.0,14.0,495.0,-119.662127,37.211164
13085,6037,LOS ANGELES,CA,Hypertension,Urban,58,"[10,000+]",57.0,"[10,000+]",61.0,"[10,000+]",65.0,"[10,000+]",54.0,"[10,000+]",55.0,[500-999],60.0,"[10,000+]",2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Los Angeles County,6037.0,6300.0,57093.0,-119.662127,37.211164
13086,6039,MADERA,CA,Hypertension,Urban,60,"[10,000+]",59.0,"[5,000-9,999]",72.0,[11-499],68.0,[11-499],60.0,"[1,000-4,999]",61.0,[11-499],47.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Madera County,6039.0,91.0,790.0,-119.662127,37.211164
13087,6041,MARIN,CA,Hypertension,Urban,42,"[10,000+]",41.0,"[10,000+]",53.0,[500-999],47.0,"[1,000-4,999]",44.0,"[1,000-4,999]",31.0,[11-499],41.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Marin County,6041.0,101.0,1550.0,-119.662127,37.211164
13089,6045,MENDOCINO,CA,Hypertension,Rural,45,"[10,000+]",45.0,"[10,000+]",44.0,[11-499],39.0,[11-499],44.0,"[1,000-4,999]",54.0,[500-999],42.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Mendocino County,6045.0,17.0,649.0,-119.662127,37.211164
13090,6047,MERCED,CA,Hypertension,Urban,59,"[10,000+]",59.0,"[10,000+]",66.0,"[1,000-4,999]",63.0,"[1,000-4,999]",58.0,"[10,000+]",62.0,[11-499],57.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Merced County,6047.0,86.0,1225.0,-119.662127,37.211164
13093,6053,MONTEREY,CA,Hypertension,Urban,53,"[10,000+]",51.0,"[10,000+]",64.0,"[1,000-4,999]",61.0,"[1,000-4,999]",55.0,"[10,000+]",47.0,[11-499],61.0,"[1,000-4,999]",2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Monterey County,6053.0,86.0,2114.0,-119.662127,37.211164
13094,6055,NAPA,CA,Hypertension,Urban,52,"[10,000+]",54.0,"[10,000+]",50.0,[11-499],52.0,[500-999],47.0,"[1,000-4,999]",43.0,[11-499],45.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Napa County,6055.0,21.0,935.0,-119.662127,37.211164
13096,6059,ORANGE,CA,Hypertension,Urban,57,"[10,000+]",54.0,"[10,000+]",58.0,"[1,000-4,999]",68.0,"[10,000+]",51.0,"[10,000+]",58.0,[11-499],57.0,"[1,000-4,999]",2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Orange County,6059.0,1375.0,17042.0,-119.662127,37.211164
13097,6061,PLACER,CA,Hypertension,Urban,50,"[10,000+]",50.0,"[10,000+]",51.0,[500-999],51.0,"[1,000-4,999]",47.0,"[1,000-4,999]",53.0,[11-499],55.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Placer County,6061.0,104.0,3010.0,-119.662127,37.211164
13099,6065,RIVERSIDE,CA,Hypertension,Urban,52,"[10,000+]",53.0,"[10,000+]",57.0,"[5,000-9,999]",54.0,"[5,000-9,999]",46.0,"[10,000+]",53.0,[500-999],55.0,"[1,000-4,999]",2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Riverside County,6065.0,1361.0,14663.0,-119.662127,37.211164
13100,6067,SACRAMENTO,CA,Hypertension,Urban,51,"[10,000+]",50.0,"[10,000+]",53.0,"[10,000+]",57.0,"[10,000+]",47.0,"[10,000+]",48.0,[500-999],53.0,"[1,000-4,999]",2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Sacramento County,6067.0,472.0,9793.0,-119.662127,37.211164
13102,6071,SAN BERNARDINO,CA,Hypertension,Urban,52,"[10,000+]",52.0,"[10,000+]",57.0,"[5,000-9,999]",56.0,"[5,000-9,999]",47.0,"[10,000+]",48.0,[11-499],51.0,"[1,000-4,999]",2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,San Bernardino County,6071.0,1221.0,13079.0,-119.662127,37.211164
13103,6073,SAN DIEGO,CA,Hypertension,Urban,47,"[10,000+]",47.0,"[10,000+]",54.0,"[5,000-9,999]",51.0,"[10,000+]",45.0,"[10,000+]",47.0,[500-999],48.0,"[5,000-9,999]",2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,San Diego County,6073.0,1080.0,18293.0,-119.662127,37.211164
13104,6075,SAN FRANCISCO,CA,Hypertension,Urban,51,"[10,000+]",45.0,"[10,000+]",49.0,"[5,000-9,999]",59.0,"[10,000+]",50.0,"[5,000-9,999]",40.0,[11-499],55.0,"[1,000-4,999]",2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,San Francisco County,6075.0,152.0,4869.0,-119.662127,37.211164
13105,6077,SAN JOAQUIN,CA,Hypertension,Urban,58,"[10,000+]",60.0,"[10,000+]",59.0,"[1,000-4,999]",60.0,"[5,000-9,999]",53.0,"[10,000+]",60.0,[11-499],57.0,"[1,000-4,999]",2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,San Joaquin County,6077.0,465.0,4634.0,-119.662127,37.211164
13106,6079,SAN LUIS OBISPO,CA,Hypertension,Urban,50,"[10,000+]",50.0,"[10,000+]",55.0,[11-499],53.0,[500-999],53.0,"[1,000-4,999]",58.0,[11-499],50.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,San Luis Obispo County,6079.0,30.0,1756.0,-119.662127,37.211164
13107,6081,SAN MATEO,CA,Hypertension,Urban,49,"[10,000+]",49.0,"[10,000+]",55.0,"[1,000-4,999]",50.0,"[5,000-9,999]",47.0,"[5,000-9,999]",65.0,[11-499],51.0,"[1,000-4,999]",2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,San Mateo County,6081.0,174.0,3601.0,-119.662127,37.211164
13108,6083,SANTA BARBARA,CA,Hypertension,Urban,50,"[10,000+]",48.0,"[10,000+]",59.0,"[1,000-4,999]",57.0,"[1,000-4,999]",54.0,"[10,000+]",50.0,[11-499],51.0,[500-999],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Santa Barbara County,6083.0,135.0,2548.0,-119.662127,37.211164
13109,6085,SANTA CLARA,CA,Hypertension,Urban,51,"[10,000+]",49.0,"[10,000+]",52.0,"[1,000-4,999]",57.0,"[10,000+]",49.0,"[10,000+]",51.0,[11-499],49.0,"[1,000-4,999]",2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Santa Clara County,6085.0,365.0,8724.0,-119.662127,37.211164
13110,6087,SANTA CRUZ,CA,Hypertension,Urban,44,"[10,000+]",41.0,"[10,000+]",52.0,[11-499],48.0,"[1,000-4,999]",54.0,"[5,000-9,999]",50.0,[11-499],44.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Santa Cruz County,6087.0,34.0,1264.0,-119.662127,37.211164
13111,6089,SHASTA,CA,Hypertension,Urban,46,"[10,000+]",46.0,"[10,000+]",47.0,[11-499],43.0,[500-999],42.0,"[1,000-4,999]",47.0,[500-999],43.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Shasta County,6089.0,32.0,1867.0,-119.662127,37.211164
13114,6095,SOLANO,CA,Hypertension,Urban,48,"[10,000+]",48.0,"[10,000+]",51.0,"[5,000-9,999]",50.0,"[1,000-4,999]",46.0,"[5,000-9,999]",46.0,[11-499],40.0,"[1,000-4,999]",2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Solano County,6095.0,102.0,2627.0,-119.662127,37.211164
13115,6097,SONOMA,CA,Hypertension,Urban,46,"[10,000+]",46.0,"[10,000+]",49.0,[500-999],47.0,"[1,000-4,999]",45.0,"[1,000-4,999]",51.0,[11-499],48.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Sonoma County,6097.0,147.0,3328.0,-119.662127,37.211164
13116,6099,STANISLAUS,CA,Hypertension,Urban,54,"[10,000+]",54.0,"[10,000+]",55.0,"[1,000-4,999]",64.0,"[1,000-4,999]",50.0,"[5,000-9,999]",60.0,[11-499],59.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Stanislaus County,6099.0,504.0,4399.0,-119.662127,37.211164
13118,6103,TEHAMA,CA,Hypertension,Rural,50,"[10,000+]",50.0,"[10,000+]",45.0,[11-499],40.0,[11-499],50.0,"[1,000-4,999]",54.0,[11-499],44.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Tehama County,6103.0,10.0,416.0,-119.662127,37.211164
13120,6107,TULARE,CA,Hypertension,Urban,62,"[10,000+]",62.0,"[10,000+]",61.0,[500-999],62.0,"[1,000-4,999]",60.0,"[10,000+]",63.0,[11-499],61.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Tulare County,6107.0,288.0,2575.0,-119.662127,37.211164
13122,6111,VENTURA,CA,Hypertension,Urban,56,"[10,000+]",55.0,"[10,000+]",61.0,"[1,000-4,999]",61.0,"[1,000-4,999]",56.0,"[10,000+]",51.0,[11-499],59.0,"[1,000-4,999]",2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Ventura County,6111.0,178.0,4531.0,-119.662127,37.211164
13123,6113,YOLO,CA,Hypertension,Urban,49,"[10,000+]",48.0,"[5,000-9,999]",51.0,[11-499],55.0,"[1,000-4,999]",50.0,"[1,000-4,999]",51.0,[11-499],49.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Yolo County,6113.0,46.0,914.0,-119.662127,37.211164
13124,6115,YUBA,CA,Hypertension,Urban,57,"[10,000+]",57.0,"[5,000-9,999]",63.0,[11-499],56.0,[11-499],55.0,"[1,000-4,999]",58.0,[11-499],63.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Yuba County,6115.0,19.0,593.0,-119.662127,37.211164
13126,8001,ADAMS,CO,Hypertension,Urban,46,"[10,000+]",46.0,"[10,000+]",55.0,[500-999],47.0,[500-999],41.0,"[1,000-4,999]",52.0,[11-499],46.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CO,Adams County,8001.0,315.0,3008.0,-105.547832,38.998552
13128,8005,ARAPAHOE,CO,Hypertension,Urban,47,"[10,000+]",47.0,"[10,000+]",56.0,"[1,000-4,999]",46.0,"[1,000-4,999]",41.0,"[1,000-4,999]",42.0,[11-499],48.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CO,Arapahoe County,8005.0,427.0,3730.0,-105.547832,38.998552
13132,8013,BOULDER,CO,Hypertension,Urban,38,"[10,000+]",37.0,"[10,000+]",51.0,[11-499],38.0,[11-499],44.0,"[1,000-4,999]",48.0,[11-499],37.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CO,Boulder County,8013.0,97.0,1870.0,-105.547832,38.998552
13133,8014,BROOMFIELD,CO,Hypertension,Urban,43,"[1,000-4,999]",43.0,"[1,000-4,999]",47.0,[11-499],42.0,[11-499],45.0,[11-499],,*,49.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CO,Broomfield County,8014.0,28.0,261.0,-105.547832,38.998552
13134,8015,CHAFFEE,CO,Hypertension,Rural,34,"[1,000-4,999]",34.0,"[1,000-4,999]",,*,43.0,[11-499],41.0,[11-499],,*,35.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CO,Chaffee County,8015.0,17.0,148.0,-105.547832,38.998552
13142,8031,DENVER,CO,Hypertension,Urban,42,"[10,000+]",41.0,"[10,000+]",52.0,"[1,000-4,999]",45.0,[500-999],38.0,"[1,000-4,999]",36.0,[11-499],42.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CO,Denver County,8031.0,339.0,4279.0,-105.547832,38.998552
13144,8035,DOUGLAS,CO,Hypertension,Urban,45,"[10,000+]",45.0,"[10,000+]",52.0,[11-499],47.0,[11-499],41.0,[11-499],65.0,[11-499],51.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CO,Douglas County,8035.0,73.0,1305.0,-105.547832,38.998552
13147,8041,EL PASO,CO,Hypertension,Urban,47,"[10,000+]",47.0,"[10,000+]",52.0,"[1,000-4,999]",42.0,"[1,000-4,999]",45.0,"[1,000-4,999]",39.0,[11-499],44.0,[500-999],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CO,El Paso County,8041.0,199.0,4209.0,-105.547832,38.998552
